"ITTER107","Territorio","TIPO_DATO4","Tipologia aggregato","BRANCA_ATTIVITAREV2","Ateco 2007","INQUINANTI","Elementi inquinanti/temi ambientali","FREQUENCY","Periodicità","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","_T","totale attività economiche","COVNM","composti organici volatili non metanici","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","_T","totale attività economiche","PM2_5","particolato fine","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","_T","totale attività economiche","CD","cadmio (Cd)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","_T","totale attività economiche","PFC","perfluorocarburi","A","annuale","2021M1","Gen-2021","2019","2019",1624014,"p","dato provvisorio"
"IT","Italia","AEEIS_T","emissioni atmosferiche - temi ambientali","_T","totale attività economiche","GRHO","effetto serra (ton di CO2 equivalenti)","A","annuale","2021M1","Gen-2021","2019","2019",320367487.6,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","A","agricoltura, silvicoltura e pesca","CH4","metano","A","annuale","2021M1","Gen-2021","2019","2019",749620.5,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","A","agricoltura, silvicoltura e pesca","NH3","ammoniaca","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","A01","produzioni vegetali e animali, caccia e servizi connessi","HG","mercurio (Hg)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","A01","produzioni vegetali e animali, caccia e servizi connessi","SE","selenio (Se)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","A02","silvicoltura e utilizzo di aree forestali","CR","cromo (Cr)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
